fecha,titulo,eventos_promocionales,participacion_promocion
2022-01-02,Pelicula A,3,0.85
2022-01-09,Pelicula B,2,0.7
2022-01-16,Pelicula C,4,0.9
2022-01-23,Pelicula D,1,0.75
2022-01-30,Pelicula A,2,0.8
2022-02-06,Pelicula B,3,0.75
2022-02-13,Pelicula C,2,0.8
2022-02-20,Pelicula D,4,0.88
2022-02-27,Pelicula A,4,0.88
2022-03-06,Pelicula B,1,0.65
2022-03-13,Pelicula C,3,0.85
2022-03-20,Pelicula D,5,0.89
2022-03-27,Pelicula A,3,0.85
2022-04-03,Pelicula B,2,0.7
2022-04-10,Pelicula C,4,0.9
2022-04-17,Pelicula D,1,0.75
2022-04-24,Pelicula A,2,0.8
2022-05-01,Pelicula B,3,0.75
2022-05-08,Pelicula C,2,0.8
2022-05-15,Pelicula D,4,0.88
2022-05-22,Pelicula A,4,0.88
2022-05-29,Pelicula B,1,0.65
2022-06-05,Pelicula C,3,0.85
2022-06-12,Pelicula D,5,0.89
2022-06-19,Pelicula A,3,0.85
2022-06-26,Pelicula B,2,0.7
2022-07-03,Pelicula C,4,0.9
2022-07-10,Pelicula D,1,0.75
2022-07-17,Pelicula A,2,0.8
2022-07-24,Pelicula B,3,0.75
2022-07-31,Pelicula C,2,0.8
2022-08-07,Pelicula D,4,0.88
2022-08-14,Pelicula A,4,0.88
2022-08-21,Pelicula B,1,0.65
2022-08-28,Pelicula C,3,0.85
2022-09-04,Pelicula D,5,0.89
2022-09-11,Pelicula A,3,0.87
2022-09-18,Pelicula B,2,0.78
2022-09-25,Pelicula C,4,0.82
2022-10-02,Pelicula D,1,0.76
