fecha,titulo,ventas_boletos,calificacion
2022-01-02,Pelicula A,500,7.8
2022-01-09,Pelicula B,600,8.2
2022-01-16,Pelicula C,450,6.5
2022-01-23,Pelicula D,700,9.0
2022-01-30,Pelicula A,480,7.9
2022-02-06,Pelicula B,610,8.1
2022-02-13,Pelicula C,460,6.6
2022-02-20,Pelicula D,720,8.8
2022-02-27,Pelicula A,510,8.0
2022-03-06,Pelicula B,620,8.3
2022-03-13,Pelicula C,470,6.7
2022-03-20,Pelicula D,730,8.9
2022-03-27,Pelicula A,500,7.8
2022-04-03,Pelicula B,600,8.2
2022-04-10,Pelicula C,450,6.5
2022-04-17,Pelicula D,700,9.0
2022-04-24,Pelicula A,480,7.9
2022-05-01,Pelicula B,610,8.1
2022-05-08,Pelicula C,460,6.6
2022-05-15,Pelicula D,720,8.8
2022-05-22,Pelicula A,510,8.0
2022-05-29,Pelicula B,620,8.3
2022-06-05,Pelicula C,470,6.7
2022-06-12,Pelicula D,730,8.9
2022-06-19,Pelicula A,500,7.8
2022-06-26,Pelicula B,600,8.2
2022-07-03,Pelicula C,450,6.5
2022-07-10,Pelicula D,700,9.0
2022-07-17,Pelicula A,480,7.9
2022-07-24,Pelicula B,610,8.1
2022-07-31,Pelicula C,460,6.6
2022-08-07,Pelicula D,720,8.8
2022-08-14,Pelicula A,510,8.0
2022-08-21,Pelicula B,620,8.3
2022-08-28,Pelicula C,470,6.7
2022-09-04,Pelicula D,730,8.9
2022-09-11,Pelicula A,495,7.7
2022-09-18,Pelicula B,605,8.0
2022-09-25,Pelicula C,455,6.4
2022-10-02,Pelicula D,705,8.7
